NOME PRODOTTO;DESCRIZIONE;PREZZO;centesimi;FOTO PRODOTTO
1 Pizza pluto;Pronta in soli 20 minuti;8;99;https://www.cicalia.com/it/img/imgproducts/254/l_254.jpg
2 Wuberone - wuber;descrizione breve 2;2;0;https://www.cicalia.com/it/img/imgproducts/4498/m_4498.jpg
3 Spray wannet easy;descrizione breve 3;2;50;https://www.cicalia.com/it/img/imgproducts/18137/m_18137.jpg
4 Bonny vergani;descrizione breve 4;3;40;https://www.cicalia.com/it/img/imgproducts/22127/m_22127.jpg
5 Acqua Pejo2;descrizione breve 5;1;90;https://www.cicalia.com/it/img/imgproducts/26275/m_26275.jpg
6 Pizza regina;descrizione breve 6;5;80;https://www.cicalia.com/it/img/imgproducts/25637/l_25637.jpg
7 Pizza regina;descrizione breve 7;34;20;https://www.cicalia.com/it/img/imgproducts/25637/l_25637.jpg
8 Nutella 15gr;descrizione breve 8;1;99;https://www.cicalia.com/it/img/imgproducts/45562/l_45562.jpg
9 Nutella 450gr;descrizione breve 9;2;89;https://www.cicalia.com/it/img/imgproducts/46056/l_46056.jpg
10 Nutella 600gr;descrizione breve 10;3;78;https://www.cicalia.com/it/img/imgproducts/62783/l_62783.jpg
11 Pizza catar� soffice;descrizione breve 11;5;56;https://www.cicalia.com/it/img/imgproducts/252/l_252.jpg
12 Pizza catar� croccante;descrizione breve 12;4;59;https://www.cicalia.com/it/img/imgproducts/25637/l_25637.jpg
13 Lattuga 500gr;descrizione breve 13;1;42;https://www.cicalia.com/it/img/imgproducts/50745/l_50745.jpg
14 Philadelphia original 150gr;descrizione breve 14;4;10;https://www.cicalia.com/it/img/imgproducts/51894/l_51894.jpg
15 Philadelphia classica 250gr;descrizione breve 15;2;20;https://www.cicalia.com/it/img/imgproducts/10227/l_10227.jpg
16 Philadelphia x 2 craft;descrizione breve 16;1;99;https://www.cicalia.com/it/img/imgproducts/4000/l_4000.jpg
17 Sedano verde 800gr;descrizione breve 17;2;45;https://www.cicalia.com/it/img/imgproducts/50734/l_50734.jpg
18 Sedano bianco 800gr;descrizione breve 18;1;22;https://www.cicalia.com/it/img/imgproducts/50733/l_50733.jpg
19 Coca Cola 1,5lt;descrizione breve 19;1;10;https://www.cicalia.com/it/img/imgproducts/12849/l_12849.jpg
19 Coca Cola 450ml;descrizione breve 20;4;50;https://www.cicalia.com/it/img/imgproducts/57129/l_57129.jpg
20 Coca Cola 33cl;descrizione breve 21;2;30;https://www.cicalia.com/it/img/imgproducts/42081/l_42081.jpg
